FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,53308,210473,263781,0.0114,115696,-0.0035
2025,R4,2,53308,207505,260813,-0.0204,116099,0.0026
2024,R4,2,53308,212934,266242,0.0415,115799,0.014
2023,R4,2,53308,202331,255639,0.0694,114200,0.0616
2022,R4,2,53308,185745,239053,-0.1089,107574,-0.0416
2021,R4,2,53308,214950,268258,0.0419,112247,0.0262
2020,R4,2,53308,204171,257479,0.0362,109386,0.0336
2019,R4,2,53308,195176,248484,0.0507,105835,0.0266
2018,R4,2,53308,183177,236485,0.2179,103095,0.2513
2017,R4,2,53308,140860,194168,,82391,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Oct 18 2023 00:00:00 GMT-0400 (Eastern Daylight Time),1900300,432 CROTONA PARK AVENUE LLC,AUGUST 79 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023102000624001,Tue Oct 24 2023 10:38:29 GMT-0400 (Eastern Daylight Time)
DEED,Wed Sep 07 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1941536,56TH AND PARK (NY) OWNER LLC,432 CROTONA PARK AVENUE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016091401550001,Wed Sep 21 2016 11:06:59 GMT-0400 (Eastern Daylight Time)
