FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,350301,1383081,1733382,0.0114,760280,-0.0035
2025,R4,2,350301,1363578,1713879,-0.0204,762927,0.0026
2024,R4,2,350301,1399253,1749554,0.0415,760956,0.014
2023,R4,2,350301,1329578,1679879,0.0694,750454,0.0616
2022,R4,2,350301,1220582,1570883,-0.1089,706897,-0.0416
2021,R4,2,350301,1412502,1762803,0.0419,737607,0.0261
2020,R4,2,350301,1341670,1691971,0.0362,718819,0.0336
2019,R4,2,350301,1282560,1632861,0.0507,695482,0.0266
2018,R4,2,350301,1203707,1554008,0.2179,677467,0.2513
2017,R4,2,350301,925635,1275936,,541417,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 15 2017 00:00:00 GMT-0400 (Eastern Daylight Time),32712458,56TH AND PARK (NY) OWNER LLC,SANDIS HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017061900418001,
