FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,357850,1412886,1770736,0.0114,776666,-0.0035
2025,R4,2,357850,1392963,1750813,-0.0204,779370,0.0026
2024,R4,2,357850,1429407,1787257,0.0415,777355,0.014
2023,R4,2,357850,1358230,1716080,0.0694,766627,0.0616
2022,R4,2,357850,1246886,1604736,-0.1089,722132,-0.0416
2021,R4,2,357850,1442941,1800791,0.0419,753501,0.0261
2020,R4,2,357850,1370583,1728433,0.0362,734307,0.0336
2019,R4,2,357850,1310199,1668049,0.0507,710465,0.0266
2018,R4,2,357850,1229647,1587497,0.2179,692061,0.2513
2017,R4,2,357871,945555,1303426,,553079,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 13 2019 00:00:00 GMT-0400 (Eastern Daylight Time),-,DRAKE PARTNERS LLC,432 PARK LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2019092000495001,Mon Sep 23 2019 12:46:27 GMT-0400 (Eastern Daylight Time)
DEED,Tue Jan 29 2019 00:00:00 GMT-0500 (Eastern Standard Time),30691657,56TH AND PARK (NY) OWNER LLC,DRAKE PARTNERS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2019013000772001,Fri Feb 01 2019 16:32:08 GMT-0500 (Eastern Standard Time)
