FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,348130,1374507,1722637,0.0114,755569,-0.0035
2025,R4,2,348130,1355125,1703255,-0.0204,758200,0.0026
2024,R4,2,348130,1390579,1738709,0.0415,756240,0.014
2023,R4,2,348130,1321335,1669465,0.0694,745802,0.0616
2022,R4,2,348130,1213015,1561145,-0.1089,702516,-0.0416
2021,R4,2,348130,1403745,1751875,0.0419,733034,0.0261
2020,R4,2,348130,1333353,1681483,0.0362,714360,0.0336
2019,R4,2,348130,1274609,1622739,0.0507,691166,0.0266
2018,R4,2,348130,1196245,1544375,0.2179,673263,0.2513
2017,R4,2,348130,919897,1268027,,538057,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Dec 12 2024 00:00:00 GMT-0500 (Eastern Standard Time),-,"MBF PROPERTY HOLDINGS LLC; 432 PARK AVENUE TRUST; PHYLLIS KAMYSEK, TRUSTEE",PARK PLACE TWO LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024121201037001,Tue Dec 17 2024 11:16:27 GMT-0500 (Eastern Standard Time)
DEED,Tue Jul 30 2024 00:00:00 GMT-0400 (Eastern Daylight Time),10700000,"56TH AND PARK (NY) OWNER, LLC",MBF PROPERTY HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024080200442001,Fri Aug 02 2024 15:06:59 GMT-0400 (Eastern Daylight Time)
DEED,Wed Jan 06 2021 00:00:00 GMT-0500 (Eastern Standard Time),13000000,BBH VENTURES LLC,"56TH AND PARK (NY) OWNER, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021011400428001,Wed Jan 20 2021 12:37:59 GMT-0500 (Eastern Standard Time)
DEED,Tue Jun 18 2019 00:00:00 GMT-0400 (Eastern Daylight Time),15750000,"PARK 36A OWNER, LLC",BBH VENTURES LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2019062100438001,Mon Jun 24 2019 12:42:24 GMT-0400 (Eastern Daylight Time)
DEED,Tue Feb 20 2018 00:00:00 GMT-0500 (Eastern Standard Time),15316716,56TH AND PARK (NY) OWNER LLC,"PARK 36A OWNER, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2018022600153001,Tue Feb 27 2018 09:16:30 GMT-0500 (Eastern Standard Time)
