FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,123678,488314,611992,0.0114,268425,-0.0035
2025,R4,2,123678,481429,605107,-0.0204,269361,0.0026
2024,R4,2,123678,494024,617702,0.0415,268664,0.014
2023,R4,2,123678,469424,593102,0.0694,264956,0.0616
2022,R4,2,123678,430942,554620,-0.1089,249579,-0.0416
2021,R4,2,123678,498702,622380,0.0419,260420,0.0261
2020,R4,2,123678,473694,597372,0.0362,253786,0.0335
2019,R4,2,123678,452824,576502,0.0507,245549,0.0266
2018,R4,2,123678,424984,548662,0.2179,239189,0.2513
2017,R4,2,123678,326807,450485,,191155,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 04 2018 00:00:00 GMT-0500 (Eastern Standard Time),5000000,THG 432 PARK CORP,MARIA CATENA MANHATTAN CAPITAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2018120600009001,Thu Dec 06 2018 10:22:00 GMT-0500 (Eastern Standard Time)
DEED,Wed Dec 23 2015 00:00:00 GMT-0500 (Eastern Standard Time),5233794,"56TH AND PARK (NY) OWNER, LLC",THG 432 PARK CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2016010500781001,Wed Nov 23 2016 10:02:08 GMT-0500 (Eastern Standard Time)
