FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2022,R4,2,0,0,0,-1,0,-1
2021,R4,2,30092,121340,151432,0.0419,63362,0.0262
2020,R4,2,30092,115255,145347,0.0362,61747,0.0335
2019,R4,2,30092,110177,140269,0.0507,59748,0.0266
2018,R4,2,30092,103403,133495,0.2179,58201,0.2513
2017,R4,2,30092,79516,109608,,46514,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu May 03 2012 00:00:00 GMT-0400 (Eastern Daylight Time),10,"56TH AND PARK (NY) OWNER, LLC","NEW 56TH AND PARK (NY) OWNER, LLC",-,COMMERCIAL REAL ESTATE,2012053000146001,Thu Jun 07 2012 16:14:38 GMT-0400 (Eastern Daylight Time)
DEED,Wed Jan 20 2010 00:00:00 GMT-0500 (Eastern Standard Time),314648725,440 PARK AVENUE OWNER ASSOCIATES LLC; DAKOTAH TRAVEL CO. LLC,"CIM/56TH STREET (NY), LLC",-,NON-RESIDENTIAL VACANT LAND,2010012601381001,Thu Jan 28 2010 10:40:14 GMT-0500 (Eastern Standard Time)
DEED,Fri Mar 31 2006 00:00:00 GMT-0500 (Eastern Standard Time),418352789,BRE/SWISS L.L.C.,440 PARK AVENUE OWNER ASSOCIATES LLC,-,OTHER,2006040301033001,Wed Apr 12 2006 09:56:20 GMT-0400 (Eastern Daylight Time)
DEED,Fri Aug 01 1997 00:00:00 GMT-0400 (Eastern Daylight Time),-,"SNH NEW YORK, INC.",BRE/SWISS L.L.C.,-,PRE-ACRIS,FT_1410005834641,Mon Nov 17 1997 00:00:00 GMT-0500 (Eastern Standard Time)
DEED,-,-,"LOEWS THEATRES, INC","S N H REALTY ESTATE,LTD",-,PRE-ACRIS,FT_1460008635646,Mon Jan 19 1981 00:00:00 GMT-0500 (Eastern Standard Time)
DEED,-,-,LOEWS CORP,"LOEWS THEATRES, INC",-,PRE-ACRIS,FT_1250008634125,Mon Dec 15 1980 00:00:00 GMT-0500 (Eastern Standard Time)
