FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,182622,721039,903661,0.0114,396356,-0.0035
2025,R4,2,182622,710872,893494,-0.0204,397736,0.0026
2024,R4,2,182622,729470,912092,0.0415,396708,0.014
2023,R4,2,182622,693147,875769,0.0694,391233,0.0616
2022,R4,2,182622,636324,818946,-0.1089,368526,-0.0416
2021,R4,2,182622,736377,918999,0.0419,384535,0.0261
2020,R4,2,182622,699451,882073,0.0362,374737,0.0335
2019,R4,2,182622,668635,851257,0.0507,362573,0.0266
2018,R4,2,182622,627527,810149,0.2179,353181,0.2513
2017,R4,2,182622,482560,665182,,282254,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Apr 20 2016 00:00:00 GMT-0400 (Eastern Daylight Time),7852706,"56TH AND PARK (NY) OWNER, LLC",432 PARK 39C LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016042900590001,
