FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RB,4,86606,372709,459315,0.0794,180172,0.0513
2025,RB,4,86606,338928,425534,0.0563,171378,0.0392
2024,RB,4,86606,316258,402864,0.0838,164907,0.0276
2023,RB,4,86606,285093,371699,0.0852,160477,0.0412
2022,RB,4,86606,255913,342519,-0.0528,154134,-0.0283
2021,RB,4,86606,274992,361598,0.0225,158623,0.0085
2020,RB,4,86606,267024,353630,0.0737,157292,0.0995
2019,RB,4,86606,242749,329355,0.0211,143055,0.0237
2018,RB,4,86606,235930,322536,0.0224,139743,0.0439
2017,RB,4,86606,228853,315459,,133860,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 04 2022 00:00:00 GMT-0400 (Eastern Daylight Time),-,BLUE MARLIN 432 LLC,"BLUE MARLIN 432 II, LLC",-,COMMERCIAL REAL ESTATE,2022041901135001,Tue Apr 26 2022 14:32:17 GMT-0400 (Eastern Daylight Time)
DEED,Wed Feb 20 2019 00:00:00 GMT-0500 (Eastern Standard Time),5779000,56TH AND PARK (NY) OWNER LLC,BLUE MARLIN 432 LLC,-,COMMERCIAL REAL ESTATE,2019022200207001,2/26/2019 9:15:07 A
