FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,310902,1227523,1538425,0.0114,674769,-0.0035
2025,R4,2,310902,1210213,1521115,-0.0204,677120,0.0026
2024,R4,2,310902,1241876,1552778,0.0415,675370,0.014
2023,R4,2,310902,1180037,1490939,0.0694,666049,0.0616
2022,R4,2,310902,1083301,1394203,-0.1089,627391,-0.0416
2021,R4,2,310902,1253634,1564536,0.0419,654646,0.0261
2020,R4,2,310902,1190769,1501671,0.0362,637972,0.0336
2019,R4,2,310902,1138308,1449210,0.0507,617260,0.0266
2018,R4,2,310902,1068323,1379225,0.2179,601270,0.2513
2017,R4,2,310902,821526,1132428,,480521,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 20 2016 00:00:00 GMT-0500 (Eastern Standard Time),17137683,56TH AND PARK (NY) OWNER LLC,"44C, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2016122201923001,Thu Dec 29 2016 07:56:48 GMT-0500 (Eastern Standard Time)
