FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,229001,904157,1133158,0.0114,497015,-0.0035
2025,R4,2,229001,891408,1120409,-0.0204,498746,0.0026
2024,R4,2,229001,914730,1143731,0.0415,497457,0.014
2023,R4,2,229001,869181,1098182,0.0694,490591,0.0616
2022,R4,2,229001,797928,1026929,-0.1089,462118,-0.0416
2021,R4,2,229001,923391,1152392,0.0419,482192,0.0261
2020,R4,2,229001,877086,1106087,0.0362,469912,0.0336
2019,R4,2,229001,838444,1067445,0.0507,454657,0.0266
2018,R4,2,229001,786896,1015897,0.2179,442881,0.2513
2017,R4,2,229001,605112,834113,,353943,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue May 07 2024 00:00:00 GMT-0400 (Eastern Daylight Time),13500000,432 PARK AVENUE #84A LTD.,WALLACEHEATH LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024051400582001,Fri May 17 2024 13:36:37 GMT-0400 (Eastern Daylight Time)
DEED,Thu Aug 25 2016 00:00:00 GMT-0400 (Eastern Daylight Time),21389503,56TH AND PARK (NY) OWNER LLC,432 PARK AVENUE #84A LTD,-,SINGLE RESIDENTIAL CONDO UNIT,2016083000911001,Tue Sep 06 2016 13:29:29 GMT-0400 (Eastern Daylight Time)
