FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,32988,130244,163232,0.0114,71595,-0.0035
2025,R4,2,32988,128408,161396,-0.0204,71843,0.0026
2024,R4,2,32988,131767,164755,0.0415,71658,0.014
2023,R4,2,32988,125206,158194,0.0694,70669,0.0616
2022,R4,2,32988,114942,147930,-0.1089,66569,-0.0416
2021,R4,2,32988,133015,166003,0.0419,69460,0.0261
2020,R4,2,32988,126345,159333,0.0362,67691,0.0336
2019,R4,2,32988,120778,153766,0.0507,65492,0.0266
2018,R4,2,32988,113353,146341,0.2179,63796,0.2513
2017,R4,2,32988,87167,120155,,50984,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Nov 20 2018 00:00:00 GMT-0500 (Eastern Standard Time),29500000,KANAB CAPITAL LLC,PARELIA VENTURES LIMITED,-,SINGLE RESIDENTIAL CONDO UNIT,2018112900591001,Fri Nov 30 2018 14:10:42 GMT-0500 (Eastern Standard Time)
DEED,Thu Sep 08 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1161803,56TH AND PARK (NY) OWNER LLC,KANAB CAPITAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016092000280001,Wed Jan 04 2017 09:47:15 GMT-0500 (Eastern Standard Time)
