FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,553709,2186187,2739896,0.0114,1201749,-0.0035
2025,R4,2,553709,2155359,2709068,-0.0204,1205934,0.1628
2024,R4,2,553709,2211750,2765459,0.0415,1037106,0.2051
2023,R4,2,553709,2101616,2655325,0.0694,860584,0.2464
2022,R4,2,553709,1929331,2483040,-0.1089,690478,0.2885
2021,R4,2,553709,2232691,2786400,0.2235,535876,-0.4461
2020,R4,2,471498,1805858,2277356,0.0362,967513,0.0336
2019,R4,2,471498,1726298,2197796,0.0507,936103,0.0266
2018,R4,2,471498,1620163,2091661,0.2179,911854,0.2513
2017,R4,2,471498,1245884,1717382,,728734,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon May 09 2022 00:00:00 GMT-0400 (Eastern Daylight Time),31990505,"56TH AND PARK (NY) OWNER, LLC",FR-AM ONE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022052300470001,Wed May 25 2022 16:47:21 GMT-0400 (Eastern Daylight Time)
