FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,311006,1227931,1538937,0.0114,674994,-0.0035
2025,R4,2,311006,1210616,1521622,-0.0204,677346,0.0026
2024,R4,2,311006,1242289,1553295,0.0415,675595,0.014
2023,R4,2,311006,1180430,1491436,0.0694,666270,0.0616
2022,R4,2,311006,1083661,1394667,-0.1089,627600,-0.0416
2021,R4,2,311006,1254051,1565057,0.0419,654864,0.0261
2020,R4,2,311006,1191165,1502171,0.0362,638180,0.0336
2019,R4,2,311006,1138686,1449692,0.0507,617461,0.0266
2018,R4,2,311006,1068679,1379685,0.2179,601467,0.2513
2017,R4,2,311006,821800,1132806,,480680,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Oct 13 2021 00:00:00 GMT-0400 (Eastern Daylight Time),-,PARADIS COMMERCIAL INC,432 PARK AVENUE 53C NY NY LIVING TRUST,-,SINGLE RESIDENTIAL CONDO UNIT,2021102100190001,Mon Nov 15 2021 09:46:29 GMT-0500 (Eastern Standard Time)
DEED,Wed Jan 27 2016 00:00:00 GMT-0500 (Eastern Standard Time),16523850,"56TH AND PARK (NY) OWNER, LLC",PARADIS COMMERCIAL INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2016012900836001,Tue Feb 09 2016 15:11:39 GMT-0500 (Eastern Standard Time)
