FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,717976,2834755,3552731,0.0114,1558268,-0.0035
2025,R4,2,717976,2794782,3512758,-0.0204,1563695,0.0026
2024,R4,2,717976,2867901,3585877,0.0415,1559654,0.014
2023,R4,2,717976,2725095,3443071,0.0694,1538128,0.0616
2022,R4,2,717976,2501698,3219674,-0.1089,1448853,-0.0416
2021,R4,2,717976,2895055,3613031,0.0419,1511797,0.0261
2020,R4,2,717976,2749879,3467855,0.0362,1473287,0.0336
2019,R4,2,717976,2628728,3346704,0.0507,1425456,0.0266
2018,R4,2,717976,2467111,3185087,0.2179,1388530,0.2513
2017,R4,2,717976,1897176,2615152,,1109678,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 09 2016 00:00:00 GMT-0400 (Eastern Daylight Time),87660898,56TH AND PARK (NY) OWNER LLC,"PENTHOUSE FOUR THREE TWO PA, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2016091200322001,Thu Sep 15 2016 12:45:44 GMT-0400 (Eastern Daylight Time)
