FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,700551,2765958,3466509,0.0114,1520451,-0.0035
2025,R4,2,700551,2726955,3427506,-0.0204,1525747,0.0026
2024,R4,2,700551,2798300,3498851,0.0415,1521803,0.014
2023,R4,2,700551,2658959,3359510,0.0694,1500800,0.0616
2022,R4,2,700551,2440984,3141535,-0.1089,1413691,-0.0416
2021,R4,2,700551,2824795,3525346,0.0419,1475107,0.0261
2020,R4,2,700551,2683142,3383693,0.0362,1437527,0.0336
2019,R4,2,700551,2564931,3265482,0.0507,1390857,0.0266
2018,R4,2,700551,2407236,3107787,0.2179,1354827,0.2513
2017,R4,2,700551,1851133,2551684,,1082742,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Oct 18 2023 00:00:00 GMT-0400 (Eastern Daylight Time),65600000,432 CROTONA PARK AVENUE LLC,AUGUST 79 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023102000561001,Mon Oct 23 2023 10:28:47 GMT-0400 (Eastern Daylight Time)
DEED,Thu May 26 2016 00:00:00 GMT-0400 (Eastern Daylight Time),59144632,56TH AND PARK (NY) OWNER LLC,432 CROTONA PARK AVENUE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016060301467001,Tue Jun 07 2016 10:41:28 GMT-0400 (Eastern Daylight Time)
