FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,349526,1380019,1729545,0.0114,758598,-0.0035
2025,R4,2,349526,1360559,1710085,-0.0204,761240,0.0026
2024,R4,2,349526,1396155,1745681,0.0415,759273,0.014
2023,R4,2,349526,1326634,1676160,0.0694,748793,0.0616
2022,R4,2,349526,1217880,1567406,-0.1089,705333,-0.0416
2021,R4,2,349526,1409375,1758901,0.0419,735976,0.0261
2020,R4,2,349526,1338699,1688225,0.0362,717226,0.0336
2019,R4,2,349526,1279721,1629247,0.0507,693941,0.0266
2018,R4,2,349526,1201042,1550568,0.2179,675965,0.2513
2017,R4,2,349526,923585,1273111,,540216,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Nov 18 2021 00:00:00 GMT-0500 (Eastern Standard Time),26000000,"MCT PARK, LLC",DOVFAM NY LP,-,SINGLE RESIDENTIAL CONDO UNIT,2021112900498001,Fri Dec 03 2021 15:39:49 GMT-0500 (Eastern Standard Time)
DEED,Tue Jul 17 2018 00:00:00 GMT-0400 (Eastern Daylight Time),24200000,WHY THE FACE LLC,"MCT PARK, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2018071800985001,Wed Jul 25 2018 14:39:38 GMT-0400 (Eastern Daylight Time)
DEED,Thu Mar 17 2016 00:00:00 GMT-0400 (Eastern Daylight Time),25601212,"56TH AND PARK (NY) OWNER , LLC",WHY THE FACE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016032300049001,Fri Mar 25 2016 17:02:45 GMT-0400 (Eastern Daylight Time)
