FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,229001,904157,1133158,0.0114,497015,-0.0035
2025,R4,2,229001,891408,1120409,-0.0204,498746,0.0026
2024,R4,2,229001,914730,1143731,0.0415,497457,0.014
2023,R4,2,229001,869181,1098182,0.0694,490591,0.0616
2022,R4,2,229001,797928,1026929,-0.1089,462118,-0.0416
2021,R4,2,229001,923391,1152392,0.0419,482192,0.0261
2020,R4,2,229001,877086,1106087,0.0362,469912,0.0336
2019,R4,2,229001,838444,1067445,0.0507,454657,0.0266
2018,R4,2,229001,786896,1015897,0.2179,442881,0.2513
2017,R4,2,229001,605112,834113,,353943,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Aug 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),19100000,432 PARK 80A LLC,"JARDIN 432, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021083100725001,Thu Sep 02 2021 16:31:33 GMT-0400 (Eastern Daylight Time)
DEED,Mon Oct 10 2016 00:00:00 GMT-0400 (Eastern Daylight Time),18967711,56TH AND PARK (NY) OWNER LLC,432 PARK 80A LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016101301335001,Thu Oct 20 2016 10:18:56 GMT-0400 (Eastern Daylight Time)
