FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,388046,1532107,1920153,0.0114,842201,-0.0035
2025,R4,2,388046,1510503,1898549,-0.0204,845133,0.0026
2024,R4,2,388046,1550022,1938068,0.0415,842950,0.014
2023,R4,2,388046,1472839,1860885,0.0694,831315,0.0616
2022,R4,2,388046,1352099,1740145,-0.1089,783066,-0.0416
2021,R4,2,388046,1564698,1952744,0.0419,817084,0.0261
2020,R4,2,388046,1486234,1874280,0.0362,796270,0.0336
2019,R4,2,388046,1420755,1808801,0.0507,770419,0.0266
2018,R4,2,388046,1333405,1721451,0.2179,750461,0.2513
2017,R4,2,388046,1025371,1413417,,599750,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jun 15 2016 00:00:00 GMT-0400 (Eastern Daylight Time),14588322,56TH AND PARK (NY) OWNER LLC,432 58AB LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016061700810001,
