FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,471498,1861597,2333095,0.0114,1023321,-0.0035
2025,R4,2,471498,1835346,2306844,-0.0204,1026885,0.0026
2024,R4,2,471498,1883364,2354862,0.0415,1024231,0.014
2023,R4,2,471498,1789582,2261080,0.0694,1010095,0.0616
2022,R4,2,471498,1642877,2114375,-0.1089,951469,-0.0416
2021,R4,2,471498,1901196,2372694,0.0419,992803,0.0261
2020,R4,2,471498,1805858,2277356,0.0362,967513,0.0336
2019,R4,2,471498,1726298,2197796,0.0507,936103,0.0266
2018,R4,2,471498,1620163,2091661,0.2179,911854,0.2513
2017,R4,2,471498,1245884,1717382,,728734,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Aug 14 2017 00:00:00 GMT-0400 (Eastern Daylight Time),37745776,56TH AND PARK (NY) OWNER LLC,AJR 432 PARK LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017081600425001,
