FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,RB,4,43122,185575,228697,0.0794,89708,0.0513
2025,RB,4,43122,168756,211878,0.0563,85329,0.0392
2024,RB,4,43122,157468,200590,0.0838,82108,0.0276
2023,RB,4,43122,141951,185073,0.0852,79902,0.0411
2022,RB,4,43122,127422,170544,-0.0528,76745,-0.0283
2021,RB,4,43122,136921,180043,0.0225,78979,0.0085
2020,RB,4,43122,132954,176076,0.0737,78316,0.0995
2019,RB,4,43122,120867,163989,0.0211,71228,0.0237
2018,RB,4,43122,117472,160594,0.0224,69579,0.0439
2017,RB,4,43122,113948,157070,,66650,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ND,,,,,,,,
