FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,1078101,4256623,5334724,0.0114,2339871,-0.0035
2025,R4,2,1078101,4196601,5274702,-0.0204,2348021,-0.031
2024,R4,2,1078101,4306396,5384497,0.0415,2423023,0.0415
2023,R4,2,1078101,4091960,5170061,0.0694,2326527,0.0694
2022,R4,2,1078101,3756511,4834612,-0.1089,2175575,-0.1089
2021,R4,2,1078101,4347170,5425271,2.1388,2441372,2.3247
2020,R4,2,357850,1370583,1728433,0.0362,734307,0.0336
2019,R4,2,357850,1310199,1668049,0.0507,710465,0.0266
2018,R4,2,357850,1229647,1587497,0.2179,692061,0.2513
2017,R4,2,357871,945555,1303426,,553079,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Dec 18 2017 00:00:00 GMT-0500 (Eastern Standard Time),91125497,56TH AND PARK (NY) OWNER LLC,432 PARK JOY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017121900639001,
