FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,29730,117383,147113,0.0114,64524,-0.0035
2025,R4,2,29730,115728,145458,-0.0204,64749,0.0026
2024,R4,2,29730,118756,148486,0.0415,64583,0.014
2023,R4,2,29730,112842,142572,0.0694,63691,0.0616
2022,R4,2,29730,103592,133322,-0.1089,59995,-0.0416
2021,R4,2,29730,119880,149610,0.0419,62600,0.0261
2020,R4,2,29730,113869,143599,0.0362,61006,0.0336
2019,R4,2,29730,108852,138582,0.0507,59024,0.0266
2018,R4,2,29730,102160,131890,0.2179,57497,0.2512
2017,R4,2,29730,78559,108289,,45952,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jul 16 2024 00:00:00 GMT-0400 (Eastern Daylight Time),1350000,GEORGOS LLC,"JARDIN 432, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2024072500094001,Thu Jul 25 2024 13:01:34 GMT-0400 (Eastern Daylight Time)
DEED,Thu Nov 15 2018 00:00:00 GMT-0500 (Eastern Standard Time),27500000,HELIX PARK AVENUE LLC,GEORGOS LLC,-,MAIDS ROOM,2018112001172001,Mon Nov 26 2018 10:05:36 GMT-0500 (Eastern Standard Time)
DEED,Thu Sep 08 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1048383,56TH AND PARK (NY) OWNER LLC,HELIX PARK AVENUE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016092000179001,Tue Jan 03 2017 14:48:23 GMT-0500 (Eastern Standard Time)
