FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,506021,3175389,3681410,0.0632,1517769,0.0173
2025,R4,2,506021,2956712,3462733,0.0244,1492000,0.0041
2024,R4,2,506021,2874140,3380161,0.0327,1485914,0.0088
2023,R4,2,506021,2767217,3273238,0.0674,1472957,0.0674
2022,R4,2,506021,2560559,3066580,,1379961,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,1/2/2020 10:51:20 A
