FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,247509,1553170,1800679,0.0632,742382,0.0173
2025,R4,2,247509,1446209,1693718,0.0244,729778,0.0041
2024,R4,2,247509,1405821,1653330,0.0327,726800,0.0088
2023,R4,2,247509,1353522,1601031,0.0674,720464,0.0674
2022,R4,2,247509,1252440,1499949,,674977,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon May 22 2023 00:00:00 GMT-0400 (Eastern Daylight Time),10700000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",53 WEST FT PARTNERS LP,-,SINGLE RESIDENTIAL CONDO UNIT,2023060800203001,Fri Jun 09 2023 12:51:58 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
