FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,249787,1567464,1817251,0.0632,749214,0.0173
2025,R4,2,249787,1459518,1709305,0.0244,736494,0.0041
2024,R4,2,249787,1418758,1668545,0.0327,733490,0.0088
2023,R4,2,249787,1365978,1615765,0.0674,727094,0.0674
2022,R4,2,249787,1263966,1513753,,681189,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Feb 04 2020 00:00:00 GMT-0500 (Eastern Standard Time),11850000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",53W53NY53B LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020021301104001,Tue Feb 25 2020 16:27:43 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
