FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,88624,556133,644757,0.0632,265819,0.0173
2025,R4,2,88624,517834,606458,0.0244,261304,0.0041
2024,R4,2,88624,503373,591997,0.0327,260239,0.0088
2023,R4,2,88624,484646,573270,0.0674,257972,0.0674
2022,R4,2,88624,448452,537076,,241684,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Feb 11 2020 00:00:00 GMT-0500 (Eastern Standard Time),3332678,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",23E MOMA TOWER LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020022400260001,Mon Feb 24 2020 14:57:36 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
