FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,210468,1320733,1531201,0.0632,631282,0.0173
2025,R4,2,210468,1229779,1440247,0.0244,620564,0.0041
2024,R4,2,210468,1195435,1405903,0.0327,618032,0.0088
2023,R4,2,210468,1150963,1361431,0.0674,612644,0.0674
2022,R4,2,210468,1065008,1275476,,573965,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),6600000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","MERTAONUS, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2025011500029001,Thu Jan 16 2025 15:36:22 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
