FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,28490,178781,207271,0.0632,85452,0.0173
2025,R4,2,28490,166469,194959,0.0244,83999,0.0041
2024,R4,2,28490,161820,190310,0.0327,83657,0.0088
2023,R4,2,28490,155800,184290,0.0674,82931,0.0674
2022,R4,2,28490,144164,172654,,77695,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Mar 31 2025 00:00:00 GMT-0400 (Eastern Daylight Time),1080000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","ZHANG, BEI",-,SINGLE RESIDENTIAL CONDO UNIT,2025040300796002,Tue Apr 15 2025 13:38:04 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
