FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,374049,2347237,2721286,0.0632,1121930,0.0173
2025,R4,2,374049,2185592,2559641,0.0244,1102880,0.0041
2024,R4,2,374049,2124555,2498604,0.0327,1098382,0.0088
2023,R4,2,374049,2045517,2419566,0.0674,1088805,0.0674
2022,R4,2,374049,1892756,2266805,,1020062,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 27 2022 00:00:00 GMT-0400 (Eastern Daylight Time),24995000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",53W75 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022061001201007,Tue Jun 21 2022 13:23:28 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
