FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,98961,621004,719965,0.0632,296825,0.0173
2025,R4,2,98961,578238,677199,0.0244,291784,0.0041
2024,R4,2,98961,562089,661050,0.0327,290594,0.0088
2023,R4,2,98961,541179,640140,0.0674,288063,0.0674
2022,R4,2,98961,500763,599724,,269875,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jan 21 2020 00:00:00 GMT-0500 (Eastern Standard Time),3322495,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",MENA GROUP LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020012300648001,Fri Jan 24 2020 15:32:27 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
