FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,246282,1545473,1791755,0.0632,738702,0.0173
2025,R4,2,246282,1439042,1685324,0.0244,726161,0.0041
2024,R4,2,246282,1398854,1645136,0.0327,723198,0.0088
2023,R4,2,246282,1346814,1593096,0.0674,716893,0.0674
2022,R4,2,246282,1246233,1492515,,671632,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jan 24 2020 00:00:00 GMT-0500 (Eastern Standard Time),12750000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",VULCAN 53W53 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020020701149001,Mon Feb 10 2020 09:38:20 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
