FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,90201,566029,656230,0.0632,270548,0.0173
2025,R4,2,90201,527048,617249,0.0244,265953,0.0041
2024,R4,2,90201,512329,602530,0.0327,264870,0.0088
2023,R4,2,90201,493270,583471,0.0674,262562,0.0674
2022,R4,2,90201,456432,546633,,245984,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jan 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),2986473,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",CITY HILL CO. (HAWAII) LTD.,-,SINGLE RESIDENTIAL CONDO UNIT,2020012200276004,Wed Apr 08 2020 11:00:30 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
