FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,165788,1040358,1206146,0.0632,497269,0.0173
2025,R4,2,165788,968712,1134500,0.0244,488825,0.0041
2024,R4,2,165788,941659,1107447,0.0327,486831,0.0088
2023,R4,2,165788,906628,1072416,0.0674,482588,0.0674
2022,R4,2,165788,838920,1004708,,452119,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 09 2020 00:00:00 GMT-0500 (Eastern Standard Time),6316150,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",ARCADIA PROPERTIES INTERNATIONAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020011501178001,Tue Jan 28 2020 11:13:37 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
