FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,94511,593076,687587,0.0632,283477,0.0173
2025,R4,2,94511,552234,646745,0.0244,278663,0.0041
2024,R4,2,94511,536811,631322,0.0327,277526,0.0088
2023,R4,2,94511,516841,611352,0.0674,275108,0.0674
2022,R4,2,94511,478243,572754,,257739,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Oct 22 2020 00:00:00 GMT-0400 (Eastern Daylight Time),3032294,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",YIDE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020110300801001,Fri Nov 06 2020 13:37:27 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
