FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,220420,1383185,1603605,0.0632,661132,0.0173
2025,R4,2,220420,1287931,1508351,0.0244,649907,0.0041
2024,R4,2,220420,1251963,1472383,0.0327,647256,0.0088
2023,R4,2,220420,1205387,1425807,0.0674,641613,0.0674
2022,R4,2,220420,1115368,1335788,,601105,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Aug 28 2020 00:00:00 GMT-0400 (Eastern Daylight Time),8230000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",Y&R REALTY MANAGEMENT LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020090200335001,Wed Sep 09 2020 15:47:36 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
