FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,169608,1064327,1233935,0.0632,508726,0.0173
2025,R4,2,169608,991031,1160639,0.0244,500088,0.0041
2024,R4,2,169608,963354,1132962,0.0327,498048,0.0088
2023,R4,2,169608,927516,1097124,0.0674,493706,0.0674
2022,R4,2,169608,858248,1027856,,462536,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 03 2023 00:00:00 GMT-0400 (Eastern Daylight Time),5325000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",F53NY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023041100120001,Mon Apr 17 2023 10:09:46 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
