FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,84384,529525,613909,0.0632,253101,0.0173
2025,R4,2,84384,493058,577442,0.0244,248802,0.0041
2024,R4,2,84384,479289,563673,0.0327,247788,0.0088
2023,R4,2,84384,461458,545842,0.0674,245629,0.0674
2022,R4,2,84384,426996,511380,,230121,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Feb 03 2020 00:00:00 GMT-0500 (Eastern Standard Time),3353043,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",53 W 53 25E LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020021800579002,Thu Feb 20 2020 11:17:49 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
