FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,251504,1578239,1829743,0.0632,754365,0.0173
2025,R4,2,251504,1469551,1721055,0.0244,741556,0.0041
2024,R4,2,251504,1428511,1680015,0.0327,738531,0.0088
2023,R4,2,251504,1375368,1626872,0.0674,732093,0.0674
2022,R4,2,251504,1272654,1524158,,685871,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Mar 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),9000000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",AOMA 53 SQUARED LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021041201184007,Mon Apr 19 2021 12:00:06 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
