FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,399245,2505347,2904592,0.0632,1197502,0.0173
2025,R4,2,399245,2332813,2732058,0.0244,1177171,0.0041
2024,R4,2,399245,2267665,2666910,0.0327,1172369,0.0088
2023,R4,2,399245,2183303,2582548,0.0674,1162146,0.0674
2022,R4,2,399245,2020252,2419497,,1088773,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Sep 29 2021 00:00:00 GMT-0400 (Eastern Daylight Time),26000000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",FIFTYTHREE FIFTYTHREE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021100600295001,Wed Oct 13 2021 11:12:49 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
