FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,78286,491262,569548,0.0632,234811,0.0173
2025,R4,2,78286,457430,535716,0.0244,230824,0.0041
2024,R4,2,78286,444656,522942,0.0327,229882,0.0088
2023,R4,2,78286,428114,506400,0.0674,227880,0.0674
2022,R4,2,78286,396142,474428,,213493,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 05 2022 00:00:00 GMT-0500 (Eastern Standard Time),4407181,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","AN, RAN ANNIE",-,SINGLE RESIDENTIAL CONDO UNIT,2022011600079002,Tue Jan 25 2022 09:53:52 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
