FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,210398,1320293,1530691,0.0632,631072,0.0173
2025,R4,2,210398,1229370,1439768,0.0244,620357,0.0041
2024,R4,2,210398,1195037,1405435,0.0327,617826,0.0088
2023,R4,2,210398,1150580,1360978,0.0674,612440,0.0674
2022,R4,2,210398,1064653,1275051,,573773,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Sep 08 2020 00:00:00 GMT-0400 (Eastern Daylight Time),8169000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",JBGL 53 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020090900669001,Mon Sep 14 2020 15:17:46 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
