FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,85750,538101,623851,0.0632,257200,0.0173
2025,R4,2,85750,501044,586794,0.0244,252832,0.0041
2024,R4,2,85750,487051,572801,0.0327,251800,0.0088
2023,R4,2,85750,468932,554682,0.0674,249607,0.0674
2022,R4,2,85750,433912,519662,,233848,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Feb 11 2020 00:00:00 GMT-0500 (Eastern Standard Time),3017020,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",23F MOMA TOWER LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020022100193001,Fri Feb 21 2020 14:27:37 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
