FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,117534,737552,855086,0.0632,352533,0.0173
2025,R4,2,117534,686760,804294,0.0244,346547,0.0041
2024,R4,2,117534,667581,785115,0.0327,345134,0.0088
2023,R4,2,117534,642746,760280,0.0674,342126,0.0674
2022,R4,2,117534,594745,712279,,320525,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 23 2020 00:00:00 GMT-0500 (Eastern Standard Time),4360601,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",MLJ HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020020200070001,Thu Feb 06 2020 14:58:25 GMT-0500 (Eastern Standard Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
