FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,214919,1348661,1563580,0.0632,644630,0.0173
2025,R4,2,214919,1255784,1470703,0.0244,633685,0.0041
2024,R4,2,214919,1220713,1435632,0.0327,631100,0.0088
2023,R4,2,214919,1175301,1390220,0.0674,625599,0.0674
2022,R4,2,214919,1087528,1302447,,586102,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Oct 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),7300000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","MOMA 36A, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2024101100480001,Wed Oct 16 2024 11:59:30 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
