FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,249296,1564385,1813681,0.0632,747742,0.0173
2025,R4,2,249296,1456652,1705948,0.0244,735046,0.0041
2024,R4,2,249296,1415972,1665268,0.0327,732048,0.0088
2023,R4,2,249296,1363295,1612591,0.0674,725666,0.0674
2022,R4,2,249296,1261483,1510779,,679850,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 29 2022 00:00:00 GMT-0400 (Eastern Daylight Time),10550000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",ONE SALQHER REAL ESTATE L.L.C.,-,SINGLE RESIDENTIAL CONDO UNIT,2022100500179001,Wed Oct 05 2022 12:49:21 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
