FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,184677,1158885,1343562,0.0632,553923,0.0173
2025,R4,2,184677,1079077,1263754,0.0244,544517,0.0041
2024,R4,2,184677,1048942,1233619,0.0327,542296,0.0088
2023,R4,2,184677,1009919,1194596,0.0674,537569,0.0674
2022,R4,2,184677,934497,1119174,,503629,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jan 11 2023 00:00:00 GMT-0500 (Eastern Standard Time),5875000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",GREY CHALET LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023012400814001,Fri Apr 07 2023 10:08:21 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
