FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,173953,1091595,1265548,0.0632,521759,0.0173
2025,R4,2,173953,1016421,1190374,0.0244,512900,0.0041
2024,R4,2,173953,988035,1161988,0.0327,510808,0.0088
2023,R4,2,173953,951279,1125232,0.0674,506355,0.0674
2022,R4,2,173953,880236,1054189,,474385,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 02 2025 00:00:00 GMT-0400 (Eastern Daylight Time),5425000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","CHRISTIAN D. CURTIS, TRUSTEE; THE WYC REVOCABLE LIVING TRUST U/T/D DATED APRIL 1",-,SINGLE RESIDENTIAL CONDO UNIT,2025050900158001,Mon May 12 2025 09:06:11 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
