FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,161128,1011111,1172239,0.0632,483288,0.0173
2025,R4,2,161128,941479,1102607,0.0244,475082,0.0041
2024,R4,2,161128,915187,1076315,0.0327,473144,0.0088
2023,R4,2,161128,881140,1042268,0.0674,469021,0.0674
2022,R4,2,161128,815336,976464,,439409,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jun 18 2025 00:00:00 GMT-0400 (Eastern Daylight Time),5350000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",MG NYC HOLDING LIMITED PARTNERSHIP,-,SINGLE RESIDENTIAL CONDO UNIT,2025062800003001,Wed Jul 02 2025 09:30:44 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
