FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,288018,1807377,2095395,0.0632,863888,0.0173
2025,R4,2,288018,1682910,1970928,0.0244,849220,0.0041
2024,R4,2,288018,1635911,1923929,0.0327,845756,0.0088
2023,R4,2,288018,1575052,1863070,0.0674,838381,0.0674
2022,R4,2,288018,1457426,1745444,,785450,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 13 2022 00:00:00 GMT-0400 (Eastern Daylight Time),16000000,W2005/HINES WEST FIFTY-THIRD REALTY,"SRHRE, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2022061001153001,Mon Aug 01 2022 15:34:50 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
