FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,145989,916113,1062102,0.0632,437882,0.0173
2025,R4,2,145989,853024,999013,0.0244,430447,0.0041
2024,R4,2,145989,829201,975190,0.0327,428691,0.0088
2023,R4,2,145989,798354,944343,0.0674,424954,0.0674
2022,R4,2,145989,738732,884721,,398124,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Apr 25 2024 00:00:00 GMT-0400 (Eastern Daylight Time),5250000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",JASONWILLJUDD53 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024050200969001,Tue May 07 2024 12:54:49 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
