FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,91672,575264,666936,0.0632,274962,0.0173
2025,R4,2,91672,535648,627320,0.0244,270293,0.0041
2024,R4,2,91672,520689,612361,0.0327,269190,0.0088
2023,R4,2,91672,501318,592990,0.0674,266845,0.0674
2022,R4,2,91672,463880,555552,,249998,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Feb 27 2020 00:00:00 GMT-0500 (Eastern Standard Time),2976290,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC",MOMA PROPERTY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020032300727001,Thu Mar 26 2020 11:10:21 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
