FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,248175,1557348,1805523,0.0632,744379,0.0173
2025,R4,2,248175,1450099,1698274,0.0244,731740,0.0041
2024,R4,2,248175,1409603,1657778,0.0327,728755,0.0088
2023,R4,2,248175,1357163,1605338,0.0674,722402,0.0674
2022,R4,2,248175,1255809,1503984,,676793,
2021,R4,2,0,0,0,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Mar 02 2022 00:00:00 GMT-0500 (Eastern Standard Time),10700000,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC","TODD CROCKETT, AS TRUSTEE; KIM L. CROCKETT, AS TRUSTEE; THE CF TRUST, DATED MAY 25, 2007",-,SINGLE RESIDENTIAL CONDO UNIT,2022030900222002,Tue Mar 15 2022 08:19:15 GMT-0400 (Eastern Daylight Time)
DEED,Mon Dec 30 2019 00:00:00 GMT-0500 (Eastern Standard Time),-,"W2005/HINES WEST FIFTY-THIRD REALTY, LLC; THE MUSEUM OF MODERN ART","W2005/HINES WEST FIFTY-THIRD REALTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019123001281002,Thu Jan 02 2020 10:51:20 GMT-0500 (Eastern Standard Time)
