FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,86243,1526553,1612796,-0.0614,725758,-0.049
2025,R4,2,86243,1632056,1718299,-0.0316,763168,-0.0107
2024,R4,2,86243,1688059,1774302,0.001,771438,0.2726
2023,R4,2,86243,1686375,1772618,0.0002,606173,0.0282
2022,R4,2,86243,1685990,1772233,0.0005,589540,0.3012
2021,R4,2,86243,1685107,1771350,0.0142,453087,-0.0036
2020,R4,2,86243,1660283,1746526,-0.0004,454704,0.4296
2019,R4,2,86243,1660956,1747199,0.003,318058,0.0324
2018,R4,2,86243,1655703,1741946,-0.0503,308082,0.8749
2017,R4,2,86243,1747955,1834198,0.1943,164319,0.0415
2016,R4,2,86243,1449532,1535775,0.0447,157766,4.1994
2015,R4,2,86243,1383858,1470101,,30343,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 26 2014 00:00:00 GMT-0400 (Eastern Daylight Time),20877625,EXTELL WEST 57TH STREET LLC,"PARK VIEW NORTH LLC, A NEW YORK LIMITED LIABILITY",-,SINGLE RESIDENTIAL CONDO UNIT,2014063000158002,Tue Jul 01 2014 11:21:10 GMT-0400 (Eastern Daylight Time)
