FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,213802,3784415,3998217,-0.0614,1799198,-0.049
2025,R4,2,213802,4045962,4259764,-0.0316,1891944,-0.0107
2024,R4,2,213802,4184797,4398599,0.001,1912444,0.2726
2023,R4,2,213802,4180622,4394424,0.0002,1502740,0.0282
2022,R4,2,213802,4179669,4393471,0.0005,1461509,0.3012
2021,R4,2,213802,4177480,4391282,0.0142,1123232,-0.0036
2020,R4,2,213802,4115940,4329742,-0.0004,1127235,0.4296
2019,R4,2,213802,4117608,4331410,0.003,788484,0.0324
2018,R4,2,213802,4104585,4318387,-0.0503,763753,0.8749
2017,R4,2,213802,4333282,4547084,0.1943,407358,0.0415
2016,R4,2,213802,3593474,3807276,0.0447,391111,4.1994
2015,R4,2,213802,3430665,3644467,,75223,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jul 03 2024 00:00:00 GMT-0400 (Eastern Daylight Time),38800000,ANDIAMO INC.,BRIGHT GEN LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024071500319001,Thu Jul 18 2024 10:06:14 GMT-0400 (Eastern Daylight Time)
DEED,Tue Jul 20 2021 00:00:00 GMT-0400 (Eastern Daylight Time),31900000,"ONE57 86, LLC",ANDIAMO INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2021072200376001,Wed Jul 28 2021 08:05:21 GMT-0400 (Eastern Daylight Time)
DEED,Wed Jan 21 2015 00:00:00 GMT-0500 (Eastern Standard Time),47366990,EXTELL WEST 57TH STREET LLC,"ONE57 86, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2015012600468001,Thu Feb 05 2015 13:11:35 GMT-0500 (Eastern Standard Time)
