FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,22957,510818,533775,-0.053,235401,-0.0289
2025,R4,2,22957,540690,563647,0.0085,242401,-0.0039
2024,R4,2,22957,535962,558919,0.0065,243354,0.2736
2023,R4,2,22957,532329,555286,0.019,191071,0.0298
2022,R4,2,22957,521951,544908,-0.0507,185545,0.3077
2021,R4,2,22957,551037,573994,0.0338,141886,0.0203
2020,R4,2,22957,532268,555225,0.0047,139057,0.4519
2019,R4,2,22957,529681,552638,0.022,95775,0.0454
2018,R4,2,22957,517763,540720,,91619,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Apr 14 2017 00:00:00 GMT-0400 (Eastern Daylight Time),3252046,EXTELL WEST 57TH STREET LLC,EUCLIDEAN TACO DISTANCE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017042100814001,
