FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,50625,1126451,1177076,-0.053,519107,-0.0289
2025,R4,2,50625,1192323,1242948,0.0085,534542,-0.0039
2024,R4,2,50625,1181899,1232524,0.0065,536642,0.2736
2023,R4,2,50625,1173888,1224513,0.019,421349,0.0298
2022,R4,2,50625,1151002,1201627,-0.0507,409163,0.3077
2021,R4,2,50625,1215143,1265768,0.0338,312890,0.0203
2020,R4,2,50625,1173752,1224377,0.0047,306654,0.4519
2019,R4,2,50625,1168047,1218672,0.022,211204,0.0454
2018,R4,2,50625,1141766,1192391,,202040,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Aug 22 2016 00:00:00 GMT-0400 (Eastern Daylight Time),9701951,EXTELL WEST 57TH STREET LLC,FOGLIA PROPERTIES LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016082401065002,Fri Sep 09 2016 16:30:08 GMT-0400 (Eastern Daylight Time)
