FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,115773,2049246,2165019,-0.0614,974259,-0.049
2025,R4,2,115773,2190873,2306646,-0.0316,1024479,-0.0107
2024,R4,2,115773,2266051,2381824,0.0009,1035580,0.2726
2023,R4,2,115773,2263791,2379564,0.0002,813727,0.0282
2022,R4,2,115773,2263274,2379047,0.0005,791400,0.3012
2021,R4,2,115773,2262089,2377862,0.0142,608226,-0.0036
2020,R4,2,115773,2228765,2344538,-0.0004,610395,0.4296
2019,R4,2,115773,2229669,2345442,0.003,426961,0.0324
2018,R4,2,115773,2222617,2338390,-0.0503,413570,0.8749
2017,R4,2,115773,2346455,2462228,0.1943,220583,0.0415
2016,R4,2,115773,1945852,2061625,0.0447,211785,4.1993
2015,R4,2,115773,1857691,1973464,,40733,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Mar 27 2023 00:00:00 GMT-0400 (Eastern Daylight Time),14600964,EXTELL WEST 57TH STREET LLC,CJA CHICAGO LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023033100040001,4/3/2023 11:17:56 A
