FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,23404,520761,544165,-0.053,239984,-0.0289
2025,R4,2,23404,551214,574618,0.0085,247120,-0.0039
2024,R4,2,23404,546395,569799,0.0065,248090,0.2736
2023,R4,2,23404,542691,566095,0.019,194790,0.0298
2022,R4,2,23404,532111,555515,-0.0507,189156,0.3077
2021,R4,2,23404,561763,585167,0.0338,144649,0.0203
2020,R4,2,23404,542628,566032,0.0047,141765,0.4519
2019,R4,2,23404,539991,563395,0.022,97640,0.0454
2018,R4,2,23404,527841,551245,,93404,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Sep 18 2018 00:00:00 GMT-0400 (Eastern Daylight Time),3201133,EXTELL WEST 57TH STREET LLC,SIJI NYC LIMITED,-,SINGLE RESIDENTIAL CONDO UNIT,2018092000876002,
