FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,119497,2115159,2234656,-0.0614,1005596,-0.049
2025,R4,2,119497,2261341,2380838,-0.0316,1057432,-0.0107
2024,R4,2,119497,2338938,2458435,0.0009,1068891,0.2726
2023,R4,2,119497,2336605,2456102,0.0002,839901,0.0282
2022,R4,2,119497,2336072,2455569,0.0005,816855,0.3012
2021,R4,2,119497,2334849,2454346,0.0142,627788,-0.0036
2020,R4,2,119497,2300453,2419950,-0.0004,630027,0.4296
2019,R4,2,119497,2301386,2420883,0.003,440693,0.0324
2018,R4,2,119497,2294107,2413604,-0.0503,426872,0.8749
2017,R4,2,119497,2421928,2541425,0.1943,227678,0.0415
2016,R4,2,119497,2008440,2127937,0.0447,218597,4.1994
2015,R4,2,119497,1917443,2036940,,42043,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jan 29 2019 00:00:00 GMT-0500 (Eastern Standard Time),22158995,EXTELL WEST 57TH STREET LLC,THRIVE LAND NY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2019013000666001,Fri Feb 01 2019 11:52:46 GMT-0500 (Eastern Standard Time)
