FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,80490,1424717,1505207,-0.0614,677344,-0.049
2025,R4,2,80490,1523182,1603672,-0.0316,712258,-0.0107
2024,R4,2,80490,1575449,1655939,0.001,719976,0.2726
2023,R4,2,80490,1573877,1654367,0.0002,565735,0.0282
2022,R4,2,80490,1573518,1654008,0.0005,550212,0.3012
2021,R4,2,80490,1572694,1653184,0.0142,422862,-0.0036
2020,R4,2,80490,1549526,1630016,-0.0004,424369,0.4296
2019,R4,2,80490,1550154,1630644,0.003,296840,0.0324
2018,R4,2,80490,1545251,1625741,-0.0503,287530,0.8749
2017,R4,2,80490,1631349,1711839,0.1943,153358,0.0415
2016,R4,2,80490,1352834,1433324,0.0447,147242,4.1994
2015,R4,2,80490,1291541,1372031,,28319,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 05 2021 00:00:00 GMT-0400 (Eastern Daylight Time),12270363,EXTELL WEST 57TH STREET LLC,"157 WEST 57TH STREET PROPERTIES, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021041900293001,
