FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,90284,1598069,1688353,-0.0614,759759,-0.049
2025,R4,2,90284,1708514,1798798,-0.0316,798922,-0.0107
2024,R4,2,90284,1767141,1857425,0.001,807579,0.2726
2023,R4,2,90284,1765378,1855662,0.0002,634571,0.0282
2022,R4,2,90284,1764976,1855260,0.0005,617160,0.3012
2021,R4,2,90284,1764051,1854335,0.0142,474314,-0.0036
2020,R4,2,90284,1738064,1828348,-0.0004,476005,0.4296
2019,R4,2,90284,1738769,1829053,0.003,332958,0.0324
2018,R4,2,90284,1733269,1823553,-0.0503,322515,0.8749
2017,R4,2,90284,1829843,1920127,0.1943,172018,0.0415
2016,R4,2,90284,1517439,1607723,0.0447,165157,4.1993
2015,R4,2,90284,1448688,1538972,,31765,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jul 15 2015 00:00:00 GMT-0400 (Eastern Daylight Time),20063025,EXTELL WEST 57TH STREET LLC,PERALTA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2015072101550001,Tue Aug 11 2015 14:21:06 GMT-0400 (Eastern Daylight Time)
