FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,117616,2081873,2199489,-0.0614,989770,-0.049
2025,R4,2,117616,2225755,2343371,-0.0316,1040789,-0.0107
2024,R4,2,117616,2302130,2419746,0.0009,1052068,0.2726
2023,R4,2,117616,2299834,2417450,0.0002,826682,0.0282
2022,R4,2,117616,2299309,2416925,0.0005,804000,0.3012
2021,R4,2,117616,2298105,2415721,0.0142,617909,-0.0036
2020,R4,2,117616,2264251,2381867,-0.0004,620114,0.4296
2019,R4,2,117616,2265169,2382785,0.003,433759,0.0324
2018,R4,2,117616,2258004,2375620,-0.0503,420154,0.8749
2017,R4,2,117616,2383814,2501430,0.1943,224095,0.0415
2016,R4,2,117616,1976833,2094449,0.0447,215158,4.1993
2015,R4,2,117616,1887269,2004885,,41382,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Feb 03 2023 00:00:00 GMT-0500 (Eastern Standard Time),19300000,ESSENCE LOCAL CORP,157 CENTRAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023022200115001,Mon Mar 13 2023 12:06:23 GMT-0400 (Eastern Daylight Time)
DEED,Wed Nov 23 2022 00:00:00 GMT-0500 (Eastern Standard Time),-,ESSENCE GLOBAL INVESTMENTS LIMITED,ESSENCE LOCAL CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2022121300764001,Tue Dec 27 2022 10:23:28 GMT-0500 (Eastern Standard Time)
DEED,Wed Sep 30 2015 00:00:00 GMT-0400 (Eastern Daylight Time),24594238,EXTELL WEST 57TH STREET LLC,ESSENCE GLOBAL INVESTMENTS LIMITED,-,SINGLE RESIDENTIAL CONDO UNIT,2015100500787002,Fri Oct 09 2015 16:19:38 GMT-0400 (Eastern Daylight Time)
