FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,134746,2385075,2519821,-0.0614,1133920,-0.049
2025,R4,2,134746,2549911,2684657,-0.0316,1192370,-0.0107
2024,R4,2,134746,2637409,2772155,0.0009,1205291,0.2726
2023,R4,2,134746,2634779,2769525,0.0002,947081,0.0282
2022,R4,2,134746,2634178,2768924,0.0005,921094,0.3012
2021,R4,2,134746,2632798,2767544,0.0142,707900,-0.0036
2020,R4,2,134746,2594013,2728759,-0.0004,710426,0.4296
2019,R4,2,134746,2595065,2729811,0.003,496930,0.0324
2018,R4,2,134746,2586857,2721603,-0.0503,481344,0.8749
2017,R4,2,134746,2730990,2865736,0.1943,256731,0.0415
2016,R4,2,134746,2264737,2399483,0.0447,246492,4.1994
2015,R4,2,134746,2162128,2296874,,47408,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jul 24 2020 00:00:00 GMT-0400 (Eastern Daylight Time),17220000,"ONE 57 67A, LLC",ONE57 67A PROPERTY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020072700731001,Mon Jul 27 2020 15:18:02 GMT-0400 (Eastern Daylight Time)
DEED,Mon Mar 16 2015 00:00:00 GMT-0400 (Eastern Daylight Time),30042375,EXTELL WEST 57TH STREET LLC,"ONE57 67A, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2015032500424001,Fri Mar 27 2015 11:37:04 GMT-0400 (Eastern Daylight Time)
