FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,51444,910593,962037,-0.0614,432917,-0.049
2025,R4,2,51444,973525,1024969,-0.0316,455231,-0.0107
2024,R4,2,51444,1006931,1058375,0.0009,460165,0.2726
2023,R4,2,51444,1005927,1057371,0.0002,361582,0.0282
2022,R4,2,51444,1005698,1057142,0.0005,351662,0.3012
2021,R4,2,51444,1005171,1056615,0.0142,270267,-0.0036
2020,R4,2,51444,990363,1041807,-0.0004,271231,0.4296
2019,R4,2,51444,990765,1042209,0.003,189722,0.0324
2018,R4,2,51444,987631,1039075,-0.0503,183772,0.8749
2017,R4,2,51444,1042659,1094103,0.1943,98017,0.0415
2016,R4,2,51444,864649,916093,0.0447,94108,4.1993
2015,R4,2,51444,825475,876919,,18100,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Apr 02 2014 00:00:00 GMT-0400 (Eastern Daylight Time),8760450,EXTELL WEST 57TH STREET LLC,WEST 57-47B REALTY CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2014040900657001,
